,date_time,zipcode,location_id,Year,Month,Day,Hour,Temperature,Clearsky_DHI,Clearsky_DNI,Clearsky_GHI,Cloud_Type,Dew_Point,DHI,DNI,Fill_Flag,GHI,Relative_Humidity,Solar_Zenith_Angle,Surface_Albedo,Pressure,Precipitable_Water,Wind_Direction,Wind_Speed,Global_Horizontal_UV_Irradiance_(280-400nm),Global_Horizontal_UV_Irradiance_(295-385nm)
0,2001-01-01 00:30:00,85286,76784,2001,1,1,0,7,0,0,0,7,-2,0,0,0,0,54.63,169.69,0.193,970,0.6880000000000001,58.1,3.3000000000000003,0.0000,0.0000
1,2001-01-01 01:30:00,85286,76784,2001,1,1,1,6,0,0,0,7,-2,0,0,0,0,57.49,163.41,0.193,970,0.6900000000000001,61,3,0.0000,0.0000
2,2001-01-01 02:30:00,85286,76784,2001,1,1,2,6,0,0,0,7,-2,0,0,0,0,56.94,151.91,0.193,970,0.6920000000000001,63.800000000000004,2.8000000000000003,0.0000,0.0000
3,2001-01-01 03:30:00,85286,76784,2001,1,1,3,6,0,0,0,7,-2,0,0,0,0,56.6,139.51,0.193,970,0.6910000000000001,67.4,2.7,0.0000,0.0000
4,2001-01-01 04:30:00,85286,76784,2001,1,1,4,6,0,0,0,8,-2,0,0,0,0,56.5,126.99000000000001,0.193,970,0.687,70.4,2.6,0.0000,0.0000
5,2001-01-01 05:30:00,85286,76784,2001,1,1,5,6,0,0,0,7,-2,0,0,0,0,56.370000000000005,114.61,0.193,970,0.68,71.3,2.5,0.0000,0.0000
6,2001-01-01 06:30:00,85286,76784,2001,1,1,6,6,0,0,0,4,-3,0,0,0,0,56.02,102.55,0.193,970,0.675,71.7,2.3000000000000003,0.0000,0.0000
7,2001-01-01 07:30:00,85286,76784,2001,1,1,7,7,0,0,0,7,-3,0,0,0,0,52.4,91.03,0.193,970,0.676,70.10000000000001,2.3000000000000003,0.0000,0.0000
8,2001-01-01 08:30:00,85286,76784,2001,1,1,8,9,42,605,143,7,-2,58,247,0,100,46.79,80.33,0.193,970,0.681,67.4,2.5,0.0000,0.0000
9,2001-01-01 09:30:00,85286,76784,2001,1,1,9,11,61,804,325,4,-2,125,295,0,222,41.18,70.86,0.193,970,0.6880000000000001,64.10000000000001,2.6,11.2769,8.7230
10,2001-01-01 10:30:00,85286,76784,2001,1,1,10,13,71,892,474,7,-2,108,658,0,406,34.35,63.2,0.193,970,0.6990000000000001,66.2,2.4000000000000004,21.9343,17.0967
11,2001-01-01 11:30:00,85286,76784,2001,1,1,11,16,77,933,570,7,-2,193,473,0,443,30.11,58.09,0.193,970,0.713,87.9,2,24.6861,19.2999
12,2001-01-01 12:30:00,85286,76784,2001,1,1,12,17,78,946,604,8,-2,141,678,0,518,28.05,56.230000000000004,0.193,970,0.729,106.7,1.3,29.1421,22.8030
13,2001-01-01 13:30:00,85286,76784,2001,1,1,13,18,76,935,572,8,-2,142,641,0,483,26.18,57.95,0.193,970,0.743,134.1,0.9,26.9352,21.0598
14,2001-01-01 14:30:00,85286,76784,2001,1,1,14,17,70,895,478,7,-2,171,406,0,356,28.69,62.95,0.193,970,0.754,186.60000000000002,0.8,19.2656,15.0193
15,2001-01-01 15:30:00,85286,76784,2001,1,1,15,16,60,811,330,8,2,89,561,0,276,43.17,70.53,0.193,970,0.765,208.10000000000002,0.8,14.0621,10.8822
16,2001-01-01 16:30:00,85286,76784,2001,1,1,16,14,42,621,150,8,2,64,38,0,71,49.18,79.95,0.193,970,0.778,219.9,0.9,3.3852,2.5798
17,2001-01-01 17:30:00,85286,76784,2001,1,1,17,14,0,0,0,7,0,0,0,0,0,43.43,90.60000000000001,0.193,970,0.792,231.20000000000002,0.9,0.0000,0.0000
18,2001-01-01 18:30:00,85286,76784,2001,1,1,18,13,0,0,0,4,0,0,0,0,0,40.480000000000004,102.10000000000001,0.193,970,0.799,258.8,0.9,0.0000,0.0000
19,2001-01-01 19:30:00,85286,76784,2001,1,1,19,12,0,0,0,3,0,0,0,0,0,42.4,114.14,0.193,970,0.796,325.8,1,0.0000,0.0000
20,2001-01-01 20:30:00,85286,76784,2001,1,1,20,11,0,0,0,4,0,0,0,0,0,48.84,126.51,0.193,970,0.787,6.800000000000001,1.2000000000000002,0.0000,0.0000
21,2001-01-01 21:30:00,85286,76784,2001,1,1,21,9,0,0,0,4,0,0,0,0,0,55.26,139.03,0.193,970,0.776,29.900000000000002,1.4000000000000001,0.0000,0.0000
22,2001-01-01 22:30:00,85286,76784,2001,1,1,22,8,0,0,0,4,0,0,0,0,0,58.370000000000005,151.43,0.193,970,0.765,49.2,1.5,0.0000,0.0000
23,2001-01-01 23:30:00,85286,76784,2001,1,1,23,7,0,0,0,1,0,0,0,0,0,61.6,162.98,0.193,970,0.754,63,1.8,0.0000,0.0000
24,2001-01-02 00:30:00,85286,76784,2001,1,2,0,6,0,0,0,1,-1,0,0,0,0,60.08,169.6,0.193,970,0.744,67.5,2.2,0.0000,0.0000
25,2001-01-02 01:30:00,85286,76784,2001,1,2,1,6,0,0,0,1,-1,0,0,0,0,61.910000000000004,163.43,0.193,970,0.734,66.4,2.7,0.0000,0.0000
26,2001-01-02 02:30:00,85286,76784,2001,1,2,2,6,0,0,0,0,-2,0,0,0,0,59.82,151.96,0.193,970,0.725,64.7,3,0.0000,0.0000
27,2001-01-02 03:30:00,85286,76784,2001,1,2,3,5,0,0,0,4,-2,0,0,0,0,59.07,139.57,0.193,970,0.719,61.900000000000006,3.1,0.0000,0.0000
28,2001-01-02 04:30:00,85286,76784,2001,1,2,4,5,0,0,0,4,-2,0,0,0,0,62.99,127.05,0.193,970,0.717,57.300000000000004,3.2,0.0000,0.0000
29,2001-01-02 05:30:00,85286,76784,2001,1,2,5,5,0,0,0,4,-2,0,0,0,0,62.56,114.66,0.193,970,0.714,55.6,3.3000000000000003,0.0000,0.0000
30,2001-01-02 06:30:00,85286,76784,2001,1,2,6,5,0,0,0,7,-2,0,0,0,0,62.21,102.60000000000001,0.193,970,0.715,55.400000000000006,3.3000000000000003,0.0000,0.0000
31,2001-01-02 07:30:00,85286,76784,2001,1,2,7,6,0,0,0,7,-2,0,0,0,0,57.93,91.07000000000001,0.193,970,0.723,55.1,3.6,0.0000,0.0000
32,2001-01-02 08:30:00,85286,76784,2001,1,2,8,9,41,611,143,8,-2,47,426,0,119,48.730000000000004,80.35000000000001,0.193,970,0.731,59.2,4,0.0000,0.0000
33,2001-01-02 09:30:00,85286,76784,2001,1,2,9,13,60,806,324,1,-1,60,806,0,324,38.19,70.86,0.193,970,0.731,59.6,3.7,16.4582,12.7309
34,2001-01-02 10:30:00,85286,76784,2001,1,2,10,17,70,894,474,0,-1,70,894,0,474,30.09,63.17,0.193,970,0.723,59.800000000000004,3.4000000000000004,25.6132,19.9647
35,2001-01-02 11:30:00,85286,76784,2001,1,2,11,20,78,930,571,0,-2,78,930,0,571,23.04,58.03,0.193,970,0.716,67.7,3.2,31.8291,24.8851
36,2001-01-02 12:30:00,85286,76784,2001,1,2,12,21,80,943,605,0,-4,80,943,0,605,18.1,56.14,0.193,970,0.712,66.9,2.9000000000000004,34.0516,26.6457
37,2001-01-02 13:30:00,85286,76784,2001,1,2,13,22,78,931,574,0,-5,78,931,0,574,15.97,57.84,0.193,970,0.708,64.3,2.8000000000000003,32.0286,25.0435
38,2001-01-02 14:30:00,85286,76784,2001,1,2,14,22,71,896,481,0,-5,71,896,0,481,16.65,62.82,0.193,970,0.705,65.10000000000001,2.5,26.0530,20.3125
39,2001-01-02 15:30:00,85286,76784,2001,1,2,15,20,61,811,333,0,-2,61,811,0,333,22.52,70.39,0.193,970,0.705,60.800000000000004,1.7000000000000002,16.9878,13.1487
40,2001-01-02 16:30:00,85286,76784,2001,1,2,16,16,43,621,153,0,3,43,621,0,153,45.410000000000004,79.81,0.193,970,0.706,50.300000000000004,1.4000000000000001,7.2934,5.5592
41,2001-01-02 17:30:00,85286,76784,2001,1,2,17,13,0,0,0,0,0,0,0,0,0,44.36,90.46000000000001,0.193,970,0.705,45.5,1.7000000000000002,0.0000,0.0000
42,2001-01-02 18:30:00,85286,76784,2001,1,2,18,11,0,0,0,0,0,0,0,0,0,47.480000000000004,101.96000000000001,0.193,970,0.7020000000000001,49.1,1.9000000000000001,0.0000,0.0000
43,2001-01-02 19:30:00,85286,76784,2001,1,2,19,10,0,0,0,0,-1,0,0,0,0,49.01,114,0.193,970,0.7030000000000001,55.400000000000006,2.2,0.0000,0.0000
44,2001-01-02 20:30:00,85286,76784,2001,1,2,20,10,0,0,0,0,-1,0,0,0,0,47.21,126.38000000000001,0.193,970,0.71,56.6,2.9000000000000004,0.0000,0.0000
45,2001-01-02 21:30:00,85286,76784,2001,1,2,21,9,0,0,0,0,-2,0,0,0,0,48.56,138.89000000000001,0.193,970,0.721,54.7,3.8000000000000003,0.0000,0.0000
46,2001-01-02 22:30:00,85286,76784,2001,1,2,22,8,0,0,0,0,-2,0,0,0,0,46.87,151.3,0.193,970,0.732,51.1,4.4,0.0000,0.0000
47,2001-01-02 23:30:00,85286,76784,2001,1,2,23,8,0,0,0,0,-3,0,0,0,0,48.53,162.84,0.193,970,0.738,49.7,4.5,0.0000,0.0000
48,2001-01-03 00:30:00,85286,76784,2001,1,3,0,7,0,0,0,0,-3,0,0,0,0,47.800000000000004,169.5,0.193,970,0.732,51.2,4.3,0.0000,0.0000
49,2001-01-03 01:30:00,85286,76784,2001,1,3,1,7,0,0,0,0,-3,0,0,0,0,51.17,163.45000000000002,0.193,970,0.714,51.7,3.9000000000000004,0.0000,0.0000
50,2001-01-03 02:30:00,85286,76784,2001,1,3,2,6,0,0,0,0,-3,0,0,0,0,51.39,152.01,0.193,970,0.686,51.2,3.4000000000000004,0.0000,0.0000
51,2001-01-03 03:30:00,85286,76784,2001,1,3,3,6,0,0,0,0,-3,0,0,0,0,55.370000000000005,139.63,0.193,970,0.655,50.300000000000004,3.1,0.0000,0.0000
52,2001-01-03 04:30:00,85286,76784,2001,1,3,4,6,0,0,0,0,-3,0,0,0,0,55.39,127.10000000000001,0.193,970,0.625,49.7,3,0.0000,0.0000
53,2001-01-03 05:30:00,85286,76784,2001,1,3,5,5,0,0,0,1,-3,0,0,0,0,59.230000000000004,114.71000000000001,0.193,970,0.601,50.300000000000004,2.9000000000000004,0.0000,0.0000
54,2001-01-03 06:30:00,85286,76784,2001,1,3,6,5,0,0,0,1,-3,0,0,0,0,58.92,102.64,0.193,970,0.581,52.400000000000006,2.8000000000000003,0.0000,0.0000
55,2001-01-03 07:30:00,85286,76784,2001,1,3,7,6,0,0,0,3,-3,0,0,0,0,54.620000000000005,91.10000000000001,0.193,970,0.5660000000000001,54.2,3.2,0.0000,0.0000
56,2001-01-03 08:30:00,85286,76784,2001,1,3,8,9,38,650,147,3,-3,62,126,0,83,44.76,80.36,0.193,970,0.558,54.900000000000006,3.7,0.0000,0.0000
57,2001-01-03 09:30:00,85286,76784,2001,1,3,9,13,55,842,331,0,-3,55,842,0,331,34.85,70.85000000000001,0.193,980,0.555,58.900000000000006,3.8000000000000003,16.8153,13.0073
58,2001-01-03 10:30:00,85286,76784,2001,1,3,10,16,64,926,483,0,-3,64,926,0,483,25.86,63.13,0.193,970,0.552,87.10000000000001,4,26.1067,20.3499
59,2001-01-03 11:30:00,85286,76784,2001,1,3,11,19,74,955,581,0,-4,74,955,0,581,20.2,57.96,0.193,970,0.544,99.4,4.1000000000000005,32.3986,25.3313
60,2001-01-03 12:30:00,85286,76784,2001,1,3,12,21,75,970,617,0,-4,75,970,0,617,18.2,56.04,0.193,970,0.533,99.60000000000001,4,34.7439,27.1886
61,2001-01-03 13:30:00,85286,76784,2001,1,3,13,22,73,962,587,0,-5,73,962,0,587,16.44,57.71,0.193,970,0.52,98.30000000000001,3.7,32.7765,25.6298
62,2001-01-03 14:30:00,85286,76784,2001,1,3,14,22,66,931,493,0,-5,66,931,0,493,16,62.68,0.193,970,0.505,99.30000000000001,3,26.7279,20.8407
63,2001-01-03 15:30:00,85286,76784,2001,1,3,15,20,57,855,345,0,-3,57,855,0,345,21.48,70.25,0.193,970,0.488,104.80000000000001,1.7000000000000002,17.6222,13.6422
64,2001-01-03 16:30:00,85286,76784,2001,1,3,16,17,40,678,162,0,1,40,678,0,162,38.78,79.66,0.193,970,0.47600000000000003,124.30000000000001,0.9,7.7216,5.8865
65,2001-01-03 17:30:00,85286,76784,2001,1,3,17,14,0,0,0,0,-1,0,0,0,0,34.29,90.32000000000001,0.193,970,0.47100000000000003,113.7,0.9,0.0000,0.0000
66,2001-01-03 18:30:00,85286,76784,2001,1,3,18,12,0,0,0,0,-1,0,0,0,0,40.88,101.82000000000001,0.193,970,0.47000000000000003,65.60000000000001,1.1,0.0000,0.0000
67,2001-01-03 19:30:00,85286,76784,2001,1,3,19,10,0,0,0,0,-1,0,0,0,0,47.99,113.86,0.193,970,0.466,55,1.4000000000000001,0.0000,0.0000
68,2001-01-03 20:30:00,85286,76784,2001,1,3,20,9,0,0,0,0,-1,0,0,0,0,50.56,126.24000000000001,0.193,970,0.463,56.5,1.6,0.0000,0.0000
69,2001-01-03 21:30:00,85286,76784,2001,1,3,21,8,0,0,0,0,-2,0,0,0,0,52.28,138.76,0.193,970,0.457,59.7,2,0.0000,0.0000
70,2001-01-03 22:30:00,85286,76784,2001,1,3,22,8,0,0,0,1,-2,0,0,0,0,50.69,151.15,0.193,970,0.45,64.4,2.4000000000000004,0.0000,0.0000
71,2001-01-03 23:30:00,85286,76784,2001,1,3,23,7,0,0,0,1,-2,0,0,0,0,52.53,162.69,0.193,970,0.443,67.5,2.7,0.0000,0.0000
72,2001-01-04 00:30:00,85286,76784,2001,1,4,0,7,0,0,0,8,-3,0,0,0,0,50.49,169.4,0.193,970,0.44,68.5,3,0.0000,0.0000
73,2001-01-04 01:30:00,85286,76784,2001,1,4,1,6,0,0,0,7,-4,0,0,0,0,51.77,163.45000000000002,0.193,970,0.442,65.2,3.1,0.0000,0.0000
74,2001-01-04 02:30:00,85286,76784,2001,1,4,2,6,0,0,0,3,-4,0,0,0,0,49.79,152.05,0.193,970,0.449,59.400000000000006,3,0.0000,0.0000
75,2001-01-04 03:30:00,85286,76784,2001,1,4,3,6,0,0,0,1,-4,0,0,0,0,48.68,139.68,0.193,970,0.459,55.5,2.8000000000000003,0.0000,0.0000
76,2001-01-04 04:30:00,85286,76784,2001,1,4,4,6,0,0,0,1,-5,0,0,0,0,45.04,127.15,0.193,970,0.46900000000000003,54.1,2.6,0.0000,0.0000
77,2001-01-04 05:30:00,85286,76784,2001,1,4,5,6,0,0,0,3,-5,0,0,0,0,45.160000000000004,114.75,0.193,970,0.481,53.900000000000006,2.5,0.0000,0.0000
78,2001-01-04 06:30:00,85286,76784,2001,1,4,6,6,0,0,0,1,-5,0,0,0,0,48.33,102.67,0.193,970,0.495,54.2,2.4000000000000004,0.0000,0.0000
79,2001-01-04 07:30:00,85286,76784,2001,1,4,7,7,0,0,0,1,-5,0,0,0,0,44.69,91.12,0.193,970,0.511,54.6,2.8000000000000003,0.0000,0.0000
80,2001-01-04 08:30:00,85286,76784,2001,1,4,8,10,36,672,149,3,-5,62,142,0,86,34.4,80.37,0.193,970,0.532,56.1,3.5,0.0000,0.0000
81,2001-01-04 09:30:00,85286,76784,2001,1,4,9,14,52,856,333,0,-5,52,856,0,333,28.12,70.83,0.193,970,0.558,59.6,3.5,16.9200,13.0886
82,2001-01-04 10:30:00,85286,76784,2001,1,4,10,18,60,935,484,0,-4,60,935,0,484,22.6,63.09,0.193,970,0.587,81.5,3.3000000000000003,26.1678,20.3981
83,2001-01-04 11:30:00,85286,76784,2001,1,4,11,21,63,974,581,0,-4,63,974,0,581,18.17,57.88,0.193,970,0.616,105.5,3,32.4124,25.3430
84,2001-01-04 12:30:00,85286,76784,2001,1,4,12,22,65,984,616,0,-4,65,984,0,616,17.13,55.94,0.193,970,0.643,108.80000000000001,2.5,34.7044,27.1588
85,2001-01-04 13:30:00,85286,76784,2001,1,4,13,23,64,972,585,0,-4,64,972,0,585,16.06,57.58,0.193,970,0.667,108.80000000000001,2.1,32.6871,25.5615
86,2001-01-04 14:30:00,85286,76784,2001,1,4,14,23,60,935,491,2,-4,60,935,4,491,16.21,62.54,0.193,970,0.6880000000000001,114.10000000000001,1.7000000000000002,26.6442,20.7774
87,2001-01-04 15:30:00,85286,76784,2001,1,4,15,21,52,856,344,1,-2,52,856,0,344,22.51,70.10000000000001,0.193,970,0.707,128.4,1.1,17.5949,13.6236
88,2001-01-04 16:30:00,85286,76784,2001,1,4,16,19,38,681,162,0,4,38,681,0,162,40.5,79.51,0.193,970,0.726,160.5,0.9,7.7214,5.8875
89,2001-01-04 17:30:00,85286,76784,2001,1,4,17,18,0,0,0,0,0,0,0,0,0,31.39,90.17,0.193,970,0.746,174.8,1,0.0000,0.0000
90,2001-01-04 18:30:00,85286,76784,2001,1,4,18,17,0,0,0,0,0,0,0,0,0,31.34,101.68,0.193,970,0.767,171,0.7000000000000001,0.0000,0.0000
91,2001-01-04 19:30:00,85286,76784,2001,1,4,19,16,0,0,0,0,-1,0,0,0,0,32.5,113.72,0.193,970,0.793,118.2,0.9,0.0000,0.0000
92,2001-01-04 20:30:00,85286,76784,2001,1,4,20,13,0,0,0,0,0,0,0,0,0,40.93,126.10000000000001,0.193,970,0.8230000000000001,64.8,1.3,0.0000,0.0000
93,2001-01-04 21:30:00,85286,76784,2001,1,4,21,11,0,0,0,0,0,0,0,0,0,48.42,138.62,0.193,970,0.855,61.5,1.7000000000000002,0.0000,0.0000
94,2001-01-04 22:30:00,85286,76784,2001,1,4,22,10,0,0,0,0,0,0,0,0,0,51.09,151.01,0.193,970,0.889,62.400000000000006,2.2,0.0000,0.0000
