,date_time,zipcode,location_id,Year,Month,Day,Hour,Temperature,Clearsky_DHI,Clearsky_DNI,Clearsky_GHI,Cloud_Type,Dew_Point,DHI,DNI,Fill_Flag,GHI,Relative_Humidity,Solar_Zenith_Angle,Surface_Albedo,Pressure,Precipitable_Water,Wind_Direction,Wind_Speed,Global_Horizontal_UV_Irradiance_(280-400nm),Global_Horizontal_UV_Irradiance_(295-385nm)
0,2000-01-01 00:30:00,85286,76784,2000,1,1,0,8,0,0,0,7,-1,0,0,0,0,54.69,169.75,0.193,960,1.116,270.5,1.2000000000000002,0.0000,0.0000
1,2000-01-01 01:30:00,85286,76784,2000,1,1,1,7,0,0,0,3,-1,0,0,0,0,58.92,163.39000000000001,0.193,960,1.121,261.1,1.1,0.0000,0.0000
2,2000-01-01 02:30:00,85286,76784,2000,1,1,2,6,0,0,0,4,-1,0,0,0,0,64.68,151.87,0.193,960,1.162,240.20000000000002,1.1,0.0000,0.0000
3,2000-01-01 03:30:00,85286,76784,2000,1,1,3,5,0,0,0,0,0,0,0,0,0,72.65,139.46,0.193,960,1.21,224.60000000000002,1.2000000000000002,0.0000,0.0000
4,2000-01-01 04:30:00,85286,76784,2000,1,1,4,4,0,0,0,0,0,0,0,0,0,77.53,126.94,0.193,960,1.225,219.4,1.2000000000000002,0.0000,0.0000
5,2000-01-01 05:30:00,85286,76784,2000,1,1,5,4,0,0,0,0,1,0,0,0,0,89.26,114.56,0.193,960,1.208,211.10000000000002,1.1,0.0000,0.0000
6,2000-01-01 06:30:00,85286,76784,2000,1,1,6,4,0,0,0,0,2,0,0,0,0,94.36,102.52,0.193,960,1.206,198.60000000000002,1.1,0.0000,0.0000
7,2000-01-01 07:30:00,85286,76784,2000,1,1,7,5,0,0,0,0,2,0,0,0,0,91.9,91.01,0.193,960,1.219,190.60000000000002,1.8,0.0000,0.0000
8,2000-01-01 08:30:00,85286,76784,2000,1,1,8,7,43,567,138,1,3,43,567,0,138,84.81,80.32000000000001,0.193,960,1.207,185,2.4000000000000004,0.0000,0.0000
9,2000-01-01 09:30:00,85286,76784,2000,1,1,9,9,62,773,316,0,4,62,773,0,316,73.69,70.86,0.193,960,1.164,200.70000000000002,2.5,16.0518,12.4165
10,2000-01-01 10:30:00,85286,76784,2000,1,1,10,12,71,871,464,0,4,71,871,0,464,63.17,63.22,0.193,960,1.118,223.9,2.9000000000000004,25.0643,19.5361
11,2000-01-01 11:30:00,85286,76784,2000,1,1,11,13,81,901,557,0,2,81,901,0,557,53.47,58.13,0.193,960,1.103,239.70000000000002,3.3000000000000003,31.0321,24.2608
12,2000-01-01 12:30:00,85286,76784,2000,1,1,12,14,86,908,590,0,1,86,908,0,590,46.06,56.29,0.193,960,1.105,246.70000000000002,3.3000000000000003,33.1829,25.9643
13,2000-01-01 13:30:00,85286,76784,2000,1,1,13,15,87,887,557,1,0,87,887,0,557,40.74,58.03,0.193,960,1.095,248.60000000000002,3,31.0487,24.2750
14,2000-01-01 14:30:00,85286,76784,2000,1,1,14,14,82,839,463,2,0,82,839,4,463,38.86,63.050000000000004,0.193,960,1.077,249,2.7,25.0392,19.5189
15,2000-01-01 15:30:00,85286,76784,2000,1,1,15,13,71,742,317,0,0,71,742,0,317,39.85,70.63,0.193,960,1.055,249.9,2,16.1364,12.4858
16,2000-01-01 16:30:00,85286,76784,2000,1,1,16,11,49,532,141,3,0,49,532,4,141,47.51,80.05,0.193,960,1.027,252,1,0.0000,0.0000
17,2000-01-01 17:30:00,85286,76784,2000,1,1,17,10,0,0,0,0,0,0,0,0,0,50.69,90.71000000000001,0.193,960,0.999,262.5,0.4,0.0000,0.0000
18,2000-01-01 18:30:00,85286,76784,2000,1,1,18,10,0,0,0,1,0,0,0,0,0,50.88,102.21000000000001,0.193,960,0.979,295.8,0.30000000000000004,0.0000,0.0000
19,2000-01-01 19:30:00,85286,76784,2000,1,1,19,9,0,0,0,0,0,0,0,0,0,51.01,114.24000000000001,0.193,960,0.969,58.800000000000004,0.4,0.0000,0.0000
20,2000-01-01 20:30:00,85286,76784,2000,1,1,20,9,0,0,0,0,0,0,0,0,0,54.57,126.61,0.193,960,0.966,98.30000000000001,0.6000000000000001,0.0000,0.0000
21,2000-01-01 21:30:00,85286,76784,2000,1,1,21,8,0,0,0,0,0,0,0,0,0,58.29,139.13,0.193,960,0.963,119.10000000000001,0.8,0.0000,0.0000
22,2000-01-01 22:30:00,85286,76784,2000,1,1,22,8,0,0,0,0,0,0,0,0,0,58.1,151.54,0.193,960,0.965,130.1,0.9,0.0000,0.0000
23,2000-01-01 23:30:00,85286,76784,2000,1,1,23,7,0,0,0,8,0,0,0,0,0,57.88,163.09,0.193,960,0.978,142.9,0.9,0.0000,0.0000
24,2000-01-02 00:30:00,85286,76784,2000,1,2,0,7,0,0,0,7,0,0,0,0,0,61.77,169.67000000000002,0.193,960,0.994,160.8,0.9,0.0000,0.0000
25,2000-01-02 01:30:00,85286,76784,2000,1,2,1,6,0,0,0,0,0,0,0,0,0,66.03,163.42000000000002,0.193,960,1.01,180.9,1,0.0000,0.0000
26,2000-01-02 02:30:00,85286,76784,2000,1,2,2,5,0,0,0,0,0,0,0,0,0,70.95,151.92000000000002,0.193,960,1.047,198.70000000000002,1.1,0.0000,0.0000
27,2000-01-02 03:30:00,85286,76784,2000,1,2,3,4,0,0,0,4,0,0,0,0,0,76.97,139.53,0.193,960,1.11,216.70000000000002,1.1,0.0000,0.0000
28,2000-01-02 04:30:00,85286,76784,2000,1,2,4,4,0,0,0,4,0,0,0,0,0,79.58,127,0.193,960,1.197,232.4,1,0.0000,0.0000
29,2000-01-02 05:30:00,85286,76784,2000,1,2,5,4,0,0,0,4,0,0,0,0,0,84.69,114.62,0.193,960,1.286,239.10000000000002,0.9,0.0000,0.0000
30,2000-01-02 06:30:00,85286,76784,2000,1,2,6,4,0,0,0,4,1,0,0,0,0,91.05,102.56,0.193,960,1.35,226.70000000000002,0.9,0.0000,0.0000
31,2000-01-02 07:30:00,85286,76784,2000,1,2,7,4,0,0,0,4,2,0,0,0,0,90.61,91.04,0.193,960,1.368,195.8,1.5,0.0000,0.0000
32,2000-01-02 08:30:00,85286,76784,2000,1,2,8,5,64,343,122,4,3,50,0,0,50,89.88,80.34,0.193,960,1.35,191.20000000000002,2.5,0.0000,0.0000
33,2000-01-02 09:30:00,85286,76784,2000,1,2,9,7,96,605,295,8,4,38,0,0,38,90.08,70.86,0.193,960,1.305,212.9,3.2,1.9303,1.4931
34,2000-01-02 10:30:00,85286,76784,2000,1,2,10,8,105,752,445,8,5,166,14,0,172,87.24,63.190000000000005,0.193,960,1.234,237.5,4,9.2930,7.2435
35,2000-01-02 11:30:00,85286,76784,2000,1,2,11,9,108,822,543,4,4,130,0,0,130,77.38,58.07,0.193,960,1.166,255.10000000000002,4.6000000000000005,7.2450,5.6643
36,2000-01-02 12:30:00,85286,76784,2000,1,2,12,10,107,849,580,4,2,25,0,0,25,65.26,56.21,0.193,960,1.121,263.1,4.9,1.4066,1.1007
37,2000-01-02 13:30:00,85286,76784,2000,1,2,13,10,104,840,550,4,1,59,0,0,59,54.78,57.92,0.193,960,1.086,268.1,4.800000000000001,3.2907,2.5730
38,2000-01-02 14:30:00,85286,76784,2000,1,2,14,11,104,768,454,3,0,196,257,0,313,49.81,62.92,0.193,960,1.046,273.6,4.4,16.9420,13.2081
39,2000-01-02 15:30:00,85286,76784,2000,1,2,15,11,90,656,309,1,-1,90,656,0,309,45.22,70.5,0.193,960,0.979,278.6,3.3000000000000003,15.7478,12.1871
40,2000-01-02 16:30:00,85286,76784,2000,1,2,16,9,58,447,136,0,-2,58,447,0,136,47.61,79.91,0.193,960,0.883,283.7,1.9000000000000001,6.4838,4.9416
41,2000-01-02 17:30:00,85286,76784,2000,1,2,17,6,0,0,0,1,-3,0,0,0,0,50.230000000000004,90.57000000000001,0.193,960,0.778,287.6,1.3,0.0000,0.0000
42,2000-01-02 18:30:00,85286,76784,2000,1,2,18,5,0,0,0,0,-4,0,0,0,0,49.13,102.07000000000001,0.193,960,0.6880000000000001,290.6,1.3,0.0000,0.0000
43,2000-01-02 19:30:00,85286,76784,2000,1,2,19,5,0,0,0,0,-5,0,0,0,0,48.59,114.11,0.193,970,0.622,301,1.4000000000000001,0.0000,0.0000
44,2000-01-02 20:30:00,85286,76784,2000,1,2,20,4,0,0,0,0,-6,0,0,0,0,48.39,126.48,0.193,970,0.5710000000000001,314.3,1.4000000000000001,0.0000,0.0000
45,2000-01-02 21:30:00,85286,76784,2000,1,2,21,3,0,0,0,0,-7,0,0,0,0,48.67,139,0.193,970,0.53,325.1,1.4000000000000001,0.0000,0.0000
46,2000-01-02 22:30:00,85286,76784,2000,1,2,22,2,0,0,0,0,-8,0,0,0,0,46.21,151.4,0.193,970,0.498,335.6,1.3,0.0000,0.0000
47,2000-01-02 23:30:00,85286,76784,2000,1,2,23,2,0,0,0,0,-8,0,0,0,0,48.09,162.95000000000002,0.193,970,0.47400000000000003,348.90000000000003,1.3,0.0000,0.0000
48,2000-01-03 00:30:00,85286,76784,2000,1,3,0,2,0,0,0,0,-8,0,0,0,0,47.870000000000005,169.58,0.193,970,0.459,1.4000000000000001,1.2000000000000002,0.0000,0.0000
49,2000-01-03 01:30:00,85286,76784,2000,1,3,1,1,0,0,0,0,-8,0,0,0,0,52.65,163.44,0.193,970,0.457,14.200000000000001,1.2000000000000002,0.0000,0.0000
50,2000-01-03 02:30:00,85286,76784,2000,1,3,2,1,0,0,0,0,-7,0,0,0,0,55.13,151.97,0.193,970,0.466,27,1.2000000000000002,0.0000,0.0000
51,2000-01-03 03:30:00,85286,76784,2000,1,3,3,0,0,0,0,0,-7,0,0,0,0,58.29,139.59,0.193,970,0.482,40.300000000000004,1.3,0.0000,0.0000
52,2000-01-03 04:30:00,85286,76784,2000,1,3,4,0,0,0,0,0,-6,0,0,0,0,60.88,127.06,0.193,970,0.494,50.400000000000006,1.5,0.0000,0.0000
