GEOID	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG
00850	60061141	3028705	23.19	1.169	17.705254	-64.752557
00851	19686484	71132	7.601	0.027	17.732228	-64.77076
00901	2535591	30548	0.979	0.012	18.465369	-66.104613
00906	8247	0	0.003	0.	18.46446	-66.094995
00907	3118631	347420	1.204	0.134	18.452553	-66.077838
00909	1580638	49304	0.61	0.019	18.44161	-66.067132
00911	1232506	0	0.476	0.	18.451159	-66.056199
00912	862980	0	0.333	0.	18.445334	-66.060139
00913	834834	0	0.322	0.	18.450002	-66.042656
00915	3616962	813214	1.397	0.314	18.437179	-66.045571
00917	3360014	47128	1.297	0.018	18.420674	-66.050105
00918	5516964	101168	2.13	0.039	18.421022	-66.065789
00920	7363180	106885	2.843	0.041	18.414292	-66.088042
00921	6923313	0	2.673	0.	18.392294	-66.088528
00923	5285549	7300	2.041	0.003	18.409029	-66.038586
00924	12154899	1369	4.693	0.001	18.398126	-66.012592
00925	1158082	0	0.447	0.	18.400296	-66.050602
00926	62577141	1049648	24.161	0.405	18.345414	-66.051502
00927	6805789	5830	2.628	0.002	18.388011	-66.072089
00934	1938926	26786	0.749	0.01	18.411313	-66.124234
00936	417954	0	0.161	0.	18.395463	-66.073772
00949	45543338	2112065	17.584	0.815	18.430635	-66.212598
00950	6204978	1989343	2.396	0.768	18.459699	-66.233101
00951	1075640	29541	0.415	0.011	18.42753	-66.253789
00952	3202145	0	1.236	0.	18.427443	-66.182027
00953	69143619	1364966	26.697	0.527	18.360729	-66.251527
00956	68564545	215365	26.473	0.083	18.321137	-66.170419
00957	11967889	1407	4.621	0.001	18.368371	-66.1878
00959	16617995	81793	6.416	0.032	18.385785	-66.155654
00960	2366333	2485	0.914	0.001	18.416641	-66.144555
00961	13404396	168929	5.175	0.065	18.413307	-66.164683
00962	9888766	1121473	3.818	0.433	18.444614	-66.148819
00965	1746398	328905	0.674	0.127	18.433757	-66.114752
00966	8340962	4490	3.22	0.002	18.401521	-66.117597
00968	1185647	0	0.458	0.	18.406085	-66.101232
00969	12646641	39796	4.883	0.015	18.368062	-66.108062
00971	41344879	94184	15.963	0.036	18.318884	-66.11919
00976	43330243	756226	16.73	0.292	18.33618	-65.994101
00979	4047122	504520	1.563	0.195	18.444394	-66.030036
00982	3672315	19112	1.418	0.007	18.411261	-65.992045
00983	8971202	609871	3.464	0.235	18.416115	-65.975436
00985	21075476	740365	8.137	0.286	18.410774	-65.947927
00987	64342430	422661	24.843	0.163	18.338161	-65.941083
01001	29797658	2121390	11.505	0.819	42.062368	-72.625754
01002	142615075	4281257	55.064	1.653	42.364031	-72.458759
01003	1842387	12788	0.711	0.005	42.389698	-72.524009
01005	114638390	666424	44.262	0.257	42.418884	-72.112077
01007	136237871	6941673	52.602	2.68	42.27901	-72.400468
01008	139349132	5109088	53.803	1.973	42.190191	-72.954263
01009	2104351	0	0.812	0.	42.209669	-72.339743
01010	90055966	1421379	34.771	0.549	42.128176	-72.205352
01011	81827921	342581	31.594	0.132	42.290128	-72.966516
01012	33971286	543982	13.116	0.21	42.375425	-72.858192
01013	14557865	1704381	5.621	0.658	42.163451	-72.60274
01020	32472747	1009934	12.538	0.39	42.172611	-72.56192
01022	12360971	2118	4.773	0.001	42.197741	-72.542713
01026	62173902	332330	24.005	0.128	42.465495	-72.918267
01027	104889990	1205406	40.498	0.465	42.295008	-72.751877
01028	33504997	181607	12.936	0.07	42.062378	-72.498111
01029	41050308	5314949	15.85	2.052	42.190418	-73.046918
01030	30612526	482473	11.82	0.186	42.072925	-72.686972
01031	21012724	0	8.113	0.	42.32938	-72.198156
