id,program_id,contact_id,webvisible
977,4879,4815,1
978,1330,1928,1
979,1330,3615,0
980,1380,1929,1
981,1380,4555,0
982,3666,4871,1
983,3668,5098,1
984,1410,1816,1
985,405,1237,1
986,935,1240,1
987,1962,2185,1
988,2040,2239,0
989,2040,3206,1
990,939,2675,1
991,939,3108,0
992,981,1285,0
993,980,1302,1
994,980,427,0
995,980,1675,0
997,1878,4989,1
998,1879,2120,1
999,1879,5071,1
1000,1880,2461,1
1001,1881,2122,1
1002,1881,3614,1
1003,1884,2125,1
1004,2901,4988,1
1005,2904,3068,1
1006,3005,3101,0
1007,1882,2123,1
1008,5213,5181,0
1009,5213,1711,1
1010,1887,2123,1
1011,1883,2124,1
1012,1885,2123,1
1013,1047,1370,1
1014,4551,4205,1
1015,4551,4151,0
1016,4554,2301,1
1017,4555,2301,1
1018,4556,4606,0
1019,4556,5025,1
1020,4558,2216,1
1021,4558,3341,0
1022,1945,2172,1
1023,2005,2211,1
1024,2006,2212,1
1025,2007,2213,1
1026,1037,2992,1
1027,1046,887,1
1028,3763,3916,1
1029,4011,4193,1
1030,1946,2426,1
1031,1946,3467,0
1032,1946,4441,0
1033,177,983,0
1034,177,3701,1
1035,475,1347,0
1036,475,3702,1
1037,1036,4659,1
1038,1036,1352,0
1039,1170,1638,1
1040,1170,1636,0
1041,1943,2171,1
1042,3764,3917,1
1043,1054,855,0
1044,1054,1384,1
1045,1056,1167,0
1046,1056,5024,1
1047,1057,4741,1
1048,1057,2667,1
1049,1058,23,0
1050,1058,1789,1
1051,1914,2492,1
1052,1914,2493,0
1053,1914,2494,0
1054,2148,2244,1
1055,2175,2327,1
1056,2177,2327,1
1057,3982,4172,1
1058,3982,4173,0
1059,3983,4170,1
1060,2178,2332,1
1062,2223,2355,1
1063,2247,2369,1
1064,2248,2369,1
1065,2271,2416,1
1066,2375,2522,1
1067,1105,1469,1
1068,1133,1521,1
1069,1134,1603,0
1070,1134,4258,1
1071,3935,4084,1
1072,1592,1953,1
1073,1670,1241,1
1074,1666,1993,1
1075,1059,793,0
1076,1059,5088,1
1077,1059,5089,1
1078,1856,2101,1
1079,1909,420,1
1080,1910,2144,1
1081,1911,4767,1
1082,1911,1791,0
1083,1063,1540,1
1084,1066,1398,0
1085,1066,1283,0
1086,1066,1550,0
1087,1066,1566,1
1088,2786,1150,1
1089,2824,2968,1
1090,2841,2998,1
1091,1068,1399,1
1092,1075,1428,1
1093,1076,1113,0
1094,1076,3237,1
1095,2395,2555,1
1096,1078,5736,1
1097,1078,5338,0
1098,1079,1239,1
1099,1802,2063,1
1100,1802,3620,1
1101,1202,1655,1
1102,1202,2186,0
1103,1203,1656,0
1104,1203,4539,1
1105,3259,3451,0
1106,3259,4106,1
1107,1209,2223,0
1108,1209,3363,1
1109,1096,1549,1
1110,1097,215,0
1111,1097,941,0
1112,1097,2427,1
1113,1097,3339,0
1114,1114,2510,1
1115,1114,1067,0
1116,1115,1480,1
1117,1116,1479,1
1118,1116,1378,0
1119,113,2587,0
1120,113,4345,1
1121,133,5069,1
1122,134,1139,1
1123,1899,2135,1
1124,2815,2955,1
1125,2775,2930,1
1126,2775,705,0
1127,2776,2931,0
1128,2776,4581,1
1129,2707,4792,1
1130,2780,2936,0
1131,2780,3323,1
1132,2780,5660,0
1133,1794,38,1
1134,1920,2153,1
1135,1918,2151,1
1136,1919,2150,1
1137,2655,204,1
1138,2654,2948,1
1139,2623,1928,1
1140,1900,4258,1
1141,2939,3328,0
1142,2939,3381,1
1143,3175,4670,1
1144,3176,4576,1
1145,3176,4525,0
1146,3176,5595,0
1147,1916,2150,1
1148,3160,4168,0
1149,3160,3338,1
1150,3160,3465,1
1151,4331,3023,1
1152,4331,4441,0
1153,2054,2249,1
1154,275,1,0
1155,1917,2151,1
1156,153,181,0
1157,153,1722,1
1158,153,1513,0
1159,153,4156,1
1160,186,1514,0
1161,186,3806,1
1162,2833,2984,1
1163,2834,3340,1
1164,4717,4714,1
1165,4718,4718,1
1166,2552,2727,1
1167,2552,3467,0
1168,2693,2868,1
1169,2704,2475,1
1170,2810,2954,1
1171,2740,3212,0
1172,2740,2909,1
1173,2811,3371,1
1174,1570,1918,1
1175,1589,1956,1
1176,4209,4351,1
1177,4363,4468,1
1178,1604,1976,1
1179,1604,1977,1
1180,1610,1979,1
1181,327,2473,1
1182,327,2944,0
1183,1623,2014,1
1184,1630,1983,0
1185,59,980,0
1186,59,4191,1
1187,595,855,1
1188,1237,3529,0
1189,1237,3527,1
1190,1254,202,1
1191,1469,1853,1
1192,3054,3222,1
1193,356,617,1
1194,356,312,0
1195,3061,3201,1
1196,1640,2014,1
1197,1646,2638,0
1198,1646,4512,1
1199,1652,2030,1
1200,1659,1990,1
1201,124,1456,1
1202,124,3862,0
1203,124,1352,0
1204,124,1400,0
1205,1663,1991,1
1206,1668,1994,1
1207,1673,1737,1
1208,1718,2037,1
1209,606,416,0
1210,606,37,0
1211,606,2523,1
1212,4660,4982,1
1213,4660,4694,0
1214,4873,5002,1
1215,4873,5003,1
1216,4874,17,1
1217,4875,4811,1
1218,4876,4812,1
1219,610,63,1
1220,610,63,0
1221,199,365,0
1222,199,4263,1
1223,200,634,1
1224,200,1365,1
1225,201,314,0
1226,198,986,0
1227,198,1388,0
1228,198,3913,1
1229,889,1122,1
1230,834,1011,1
1231,221,1382,1
1232,216,3690,1
1233,216,3918,1
1234,1256,1729,1
1235,1678,2002,1
1236,1186,1661,1
1237,1187,1647,0
1238,1187,5114,1
1239,1232,2311,0
1240,1232,2310,0
1241,1232,2312,0
1242,1232,3728,1
1243,1217,1674,1
1244,1216,1677,0
1245,1216,4740,1
1246,1259,1733,1
1247,1286,1768,1
1248,1289,1415,1
1249,1291,1415,1
1250,1292,1415,1
1251,1292,4107,0
1252,1306,1150,1
1253,3429,3641,1
1254,3461,3671,1
1255,3430,2238,1
1256,3462,4239,0
1257,3462,3189,1
1258,3440,2370,1
1259,3441,3647,0
1260,3441,5122,1
1261,3458,2232,1
1262,3436,3645,1
1263,3436,5036,0
1264,3437,3662,1
1265,3437,3648,0
1266,3443,3099,0
1267,3443,4717,1
1268,3443,3861,1
1269,3460,2232,1
1270,2816,2955,0
1271,2816,3224,1
1272,3049,3219,1
1273,3053,3071,1
1274,3053,1163,0
1275,3053,4913,1
1276,3456,3663,1
1277,3067,3236,0
1278,3067,1765,1
1279,2145,2244,1
1280,2147,2244,1
1281,2165,2327,1
1282,73,1055,1
1283,2447,2614,1
1284,71,468,1
1285,71,312,0
1286,71,1093,1
1287,43,4421,0
1288,43,2528,0
1289,43,3089,0
1291,2451,2618,1
1292,2464,2641,0
1293,2464,4293,1
1294,2158,2692,1
1295,38,855,0
1296,38,4052,1
1297,38,5574,0
1298,3077,3246,0
1299,3077,3990,0
1300,3077,4947,0
1301,3077,5534,0
1302,3153,3330,1
1303,3153,4803,0
1305,4051,3438,0
1306,4051,4222,1
1307,4052,3421,0
1308,4052,4233,1
1309,2742,2911,0
1310,2742,3257,1
1311,2742,3911,1
1312,4575,4382,1
1313,4575,4987,0
1314,80,3559,1
1315,1870,1912,0
1316,1870,703,0
1317,1870,3224,1
1318,1870,4039,0
1319,1875,2114,1
1320,2473,1094,0
1321,2478,2656,1
1322,2482,4454,1
1323,2482,3076,0
1324,2484,3085,1
1325,2485,2662,1
1326,1801,2064,1
1327,1801,2966,0
1328,1801,3353,0
1329,1801,5721,0
1330,1890,2127,0
1331,1890,194,1
1332,1892,5413,0
1333,1892,5608,0
1334,1892,3642,1
1335,1893,3204,1
1336,1893,3589,0
1337,1906,2142,1
1338,1912,1911,1
1339,1915,3155,1
1340,2749,5587,1
1341,2749,2641,0
1342,2749,5588,1
1343,2975,3157,1
1344,2975,3468,0
1345,2983,1148,1
1346,3015,3184,1
1347,3110,3291,1
1348,3110,3295,1
1349,3111,3292,1
1350,3112,3292,1
1351,3512,3711,1
1352,3513,3678,1
1353,3513,3705,0
1354,2739,1836,1
1355,2336,2462,0
1356,2336,2754,0
1357,2336,4463,1
1358,1997,2206,1
1359,44,5146,1
1360,2911,1666,1
1361,4102,4260,1
1362,4134,4281,1
1363,4157,4295,0
1364,4157,5124,1
1365,4157,5125,1
1366,4159,5152,1
1367,87,2466,1
1368,2503,1893,0
1369,2503,3142,1
1370,2503,4640,0
1372,83,4132,0
1373,2741,2937,1
1374,2741,5435,1
1375,2741,5046,0
1376,2873,3029,1
1377,2873,3030,0
1378,2885,3050,1
1379,2961,3130,1
1380,2962,3132,1
1381,2964,3135,1
1382,2964,3136,1
1383,2968,3146,1
1384,2976,1227,1
1385,3017,1938,1
1386,45,5184,1
1387,34,24,1
1388,1166,1638,1
1389,1166,1636,0
1390,1169,1638,1
1391,1169,1636,0
1392,1952,1664,1
1393,1952,5172,0
1394,1932,2163,1
1395,1932,2164,1
1396,1953,2179,1
1397,2000,3306,1
1398,2000,3532,0
1399,2967,3141,1
1400,2343,2303,1
1401,2504,2672,0
1402,2504,2704,0
1403,2504,2719,1
1404,2781,2938,1
1405,3026,4239,0
1406,3026,3189,1
1407,2508,2676,1
1408,2508,3566,1
1409,2511,1205,1
1410,2516,2682,1
1411,3291,3492,1
1412,3239,4022,1
1413,3705,3865,1
1414,3705,4439,0
1415,3229,2537,0
1416,3229,3669,1
