utility_id,zipcode_id
2186,3
2186,4
2186,5
2186,8
2186,9
2186,10
2186,11
2186,14
2186,15
2186,16
2186,17
2186,18
2186,19
2186,20
2186,21
2186,22
2186,23
2186,24
2186,25
2186,26
2186,27
2186,28
2186,29
2186,30
2186,31
2186,32
2186,33
2186,34
2186,35
2186,36
2186,37
2186,38
2186,39
2186,40
2186,41
2186,42
2186,44
2186,45
2186,46
2186,47
2186,48
2186,49
2186,50
2186,51
2186,53
2186,54
2186,55
2186,56
2186,57
2186,58
2186,59
2186,60
2186,61
2186,62
2186,63
2186,64
2186,65
2186,66
2186,67
2186,68
2186,69
2186,70
2186,71
2186,72
2186,73
2186,75
2186,77
2186,78
2186,80
2186,81
2186,82
2186,83
2186,85
2186,86
2186,87
2186,88
2186,89
2186,90
2186,91
2186,92
2186,93
2186,94
2186,95
2186,96
2186,97
2186,98
2186,99
2186,100
2186,101
2186,102
2186,103
2186,105
2186,106
2186,108
2186,109
2186,126
2186,129
2186,131
2186,133
2186,134
2186,135
2186,137
2186,139
2186,140
2186,142
2186,143
2186,145
2186,146
2186,147
2186,148
2186,149
2186,155
2186,161
2186,163
2186,164
2186,165
2186,166
2186,168
2186,169
2186,171
2186,173
2186,174
2186,176
2186,177
2186,178
2186,179
2186,181
2186,183
2186,186
2186,188
2186,189
2186,191
2186,193
570,195
2879,195
1598,196
2436,196
2879,196
2879,197
1598,199
1598,200
2879,200
464,201
2280,201
2879,201
1598,202
1598,203
464,204
2879,204
1598,205
2879,205
471,206
1177,206
2879,206
471,208
1177,208
2436,208
2879,208
471,210
1598,210
2436,210
2879,210
1598,211
2879,211
1177,212
1598,212
2436,212
2879,212
1598,213
2879,213
2879,214
2879,215
2887,215
1598,216
1598,217
2879,217
471,218
1598,218
2436,218
2879,218
570,219
2280,219
2879,219
2887,219
1598,220
2436,220
2879,220
1598,221
1598,222
1598,223
2879,223
1598,224
2879,224
471,225
1177,225
2436,225
2879,225
2280,227
2879,227
1598,228
1598,229
2879,229
471,230
1598,230
2879,230
1598,231
1598,233
2879,233
1598,235
2879,235
1598,236
1598,238
1598,239
1598,240
2879,240
2280,241
2879,241
2887,241
1598,242
2879,242
2879,243
1598,244
471,245
1177,245
1598,245
2436,245
2879,245
570,246
2879,246
2887,246
1598,247
1598,248
1598,249
1598,250
1598,251
2879,252
1177,253
2280,253
2879,253
2887,253
1598,255
2879,255
471,256
1177,256
2879,256
2887,256
1598,258
1598,261
2879,261
1598,262
2879,262
2879,264
2879,267
471,268
2879,268
2879,269
570,270
1598,270
2879,270
471,271
2879,271
1598,272
2879,272
2879,273
1598,277
2879,277
2879,278
1598,279
2879,279
1598,280
2879,280
471,285
1598,285
2879,285
1598,289
1834,289
2879,289
1598,292
2879,292
570,293
1598,293
464,294
2879,294
2879,295
1598,296
2879,296
1598,297
2879,297
1598,299
1598,300
2879,300
2879,301
1598,302
1598,303
2879,303
1598,304
2879,304
1598,305
2879,305
1598,306
2879,306
2879,307
1598,309
2879,309
1031,310
1598,310
2879,310
2879,312
1598,313
2879,313
570,314
1598,314
2879,314
1598,315
2879,315
1598,316
1598,317
570,318
1598,318
2879,318
1598,319
1598,320
2879,322
1598,323
2879,323
432,324
1031,324
1598,324
2879,324
1598,325
2879,325
2879,326
1598,328
2879,328
1598,329
2617,329
432,330
1031,330
2752,330
2879,330
2879,331
1598,332
2752,332
2879,332
1598,333
2752,333
2879,333
1598,334
2879,334
2879,335
1598,336
1598,337
2879,337
1598,338
2879,339
1598,340
2879,340
1031,341
1267,341
1598,341
2752,341
1598,342
2879,342
2879,343
1598,344
2879,344
1031,345
1598,345
2182,345
2879,345
1598,346
1598,347
1267,348
1598,348
2752,348
1598,349
2182,349
2617,349
1598,350
2879,350
2879,351
2879,352
2879,353
1598,354
2182,354
2879,354
1598,355
1598,356
110,357
862,357
1598,357
110,358
862,358
1598,358
2182,358
110,359
862,359
2182,359
1051,360
1482,360
1598,360
1598,361
1598,362
2617,362
110,364
1598,364
2617,364
862,366
1051,366
1482,366
1598,366
1207,367
1482,367
1598,367
1598,368
2166,368
2617,368
862,369
1598,369
2166,369
2546,369
1051,370
1482,370
1598,370
3132,370
862,371
1598,371
862,372
1051,372
1598,372
2182,372
1051,373
1598,373
1598,374
1598,375
2617,375
862,376
1051,376
1598,376
2182,376
110,380
862,380
1598,380
2166,380
862,381
2182,381
110,382
1598,382
2182,382
2617,382
1598,384
282,385
1207,385
1598,385
1598,386
1780,386
282,387
1598,387
2392,387
2849,387
1598,388
1598,389
1598,392
2546,392
1598,393
1598,394
1598,396
1598,397
1167,398
1598,398
2052,398
2849,398
1598,399
1167,400
1598,400
2052,400
2166,400
2546,400
2849,400
862,401
1598,401
2546,401
1598,402
2052,402
1598,405
1598,406
1598,407
282,408
1598,408
1598,409
1598,410
1598,411
2392,411
1598,412
1598,414
1167,415
1598,415
2166,415
2546,415
1598,416
1167,417
1598,417
2052,417
2166,417
282,418
1598,418
2392,418
2849,418
1598,420
1598,421
1598,422
1598,423
2052,423
1167,424
1598,424
2166,424
2546,424
2849,424
1598,425
1598,426
3132,426
1598,427
570,428
1598,428
570,429
1598,429
1598,430
1598,431
2392,431
3132,431
282,433
1167,433
1598,433
2546,433
2849,433
1598,434
1598,436
1598,437
1167,439
1598,439
2052,439
1598,440
1598,441
2392,441
1167,442
1598,442
2392,442
1167,443
1598,443
2392,443
2849,443
1598,444
1598,445
1167,446
1598,446
1598,447
1598,448
1167,449
1598,449
2052,449
1598,456
3132,456
3132,457
3132,461
1207,462
1482,462
1598,462
3132,462
566,463
1207,463
1482,463
1598,463
3132,463
1598,464
3132,464
566,465
1598,465
3132,465
3132,466
1207,467
1598,467
566,468
1598,468
3132,468
566,469
3132,469
1598,470
3132,470
1598,471
3132,471
1598,472
3132,472
1598,473
3132,473
1207,474
1598,474
3132,474
1207,475
1598,475
3132,475
566,476
1207,476
3132,476
1598,477
3132,477
1598,478
3132,478
2845,479
3132,479
3132,480
1598,481
3132,481
566,482
3132,482
1207,483
1482,483
1598,483
3132,483
566,484
1207,484
1598,484
3132,484
3132,485
2205,487
3132,487
1598,488
2205,488
3132,488
3132,489
1598,493
2205,493
1598,497
2205,497
3132,497
1598,499
3132,499
1598,500
3020,500
1051,501
1598,501
2182,501
1598,502
1637,502
3133,502
1598,504
3133,504
967,505
1056,505
1598,505
2275,505
967,506
1056,506
1598,506
1056,507
1598,507
1598,508
1598,509
1598,511
1598,512
3020,512
1598,513
1667,513
2205,513
1598,514
1598,515
1598,516
1598,518
1598,519
1637,519
3133,519
1598,520
3132,520
1598,521
1598,522
1667,522
2205,522
2205,525
2784,525
3132,525
1598,526
2205,526
1051,527
1598,527
2182,527
3020,527
1598,528
2205,528
2784,528
3132,528
1051,530
1482,530
1598,530
3132,530
1598,531
2205,531
3132,531
1598,534
3132,534
1598,536
1598,537
1598,539
2058,539
2205,539
1598,540
1598,541
2205,541
2784,541
1577,542
1598,542
1598,543
1598,545
1637,545
3133,545
714,546
1598,546
967,547
1056,547
1252,547
1598,547
1667,547
2275,547
967,548
1056,548
1598,548
2275,548
714,549
1598,549
1667,549
2058,549
1252,550
1598,550
1252,551
1598,551
1252,555
1598,555
2275,555
1598,556
2058,556
2205,556
2784,556
1598,557
1577,558
1598,558
714,559
1598,559
1667,559
2058,559
2205,559
1598,560
1252,561
1598,561
2275,561
1598,562
3133,562
714,563
1598,563
1667,563
2058,563
2205,563
1598,566
967,567
1252,567
1598,567
2275,567
714,568
1577,568
1598,568
2058,568
1252,570
1598,570
714,571
1252,571
1598,571
1667,571
714,572
1598,572
1056,573
1598,573
1598,575
3132,575
1598,577
1919,577
3132,577
1184,578
1598,578
3132,579
2845,581
3132,581
1919,583
3132,583
1569,584
1598,584
3132,584
1598,585
3132,585
1183,588
1184,588
1598,588
1183,590
1184,590
1598,590
3134,591
1569,592
1598,592
1865,592
1598,593
3134,593
3134,594
3132,595
1598,596
3132,596
3132,597
1598,599
3132,599
1183,602
1598,602
3134,602
1919,603
3132,603
1183,605
1598,605
3134,605
1569,606
1598,606
1919,606
3132,606
1598,608
3132,608
1598,609
3132,609
1598,610
1919,610
3132,610
1919,611
3132,611
1598,612
1780,612
3132,612
3132,613
3132,614
3132,615
3132,616
3132,618
3132,619
3135,619
3132,620
3132,621
3132,623
3132,624
3132,625
3132,626
3132,627
1598,629
3132,629
3132,630
3132,631
3132,632
1598,633
3132,633
1598,634
3132,634
3132,635
3132,636
3132,637
3132,639
3135,639
3132,640
3135,640
3132,641
195,643
3132,643
3135,643
3132,644
3135,644
195,645
3132,645
3135,645
3132,646
3135,646
3135,647
3132,648
3135,648
1598,649
3132,649
3135,649
1598,650
3132,650
1598,651
3132,651
1598,652
3132,652
1598,653
3132,653
1598,654
3132,654
1598,655
3132,655
1598,657
3132,657
3132,659
3135,659
288,660
1598,660
3132,660
1598,661
3132,661
1598,662
3132,662
1598,663
2784,663
3132,663
1598,664
2784,664
3132,664
288,665
1598,665
1598,667
3132,667
288,669
1598,669
1183,670
1598,670
288,671
1183,671
1598,671
1183,672
1598,672
3132,674
3132,676
3132,681
3132,684
3132,687
1598,700
1598,701
1598,705
1598,706
1664,706
2610,706
1664,709
3134,709
1598,711
3134,711
1598,712
1598,715
1664,715
3134,715
1598,716
1598,718
288,719
1598,719
1598,722
1664,722
2610,722
3134,722
1664,723
2610,723
3134,723
1598,727
1569,729
1598,729
1598,732
3134,732
3134,733
1598,736
3134,736
1598,738
3134,738
288,739
1598,739
3132,739
1183,740
1598,740
1598,741
2610,741
1598,742
1598,744
3132,745
195,746
3132,746
3132,747
3132,748
3132,750
195,751
3132,751
195,752
3132,752
3132,757
3132,758
3132,759
3132,760
2845,761
3132,761
3132,762
3132,763
3132,764
3132,765
2845,766
3132,766
195,768
3132,768
3135,768
195,769
1598,769
3132,769
3135,769
195,771
3132,771
195,773
3132,773
3135,773
2845,775
3132,775
2845,776
3132,776
2845,777
3132,777
2845,778
3132,778
2845,779
3132,779
3134,781
3134,782
3134,783
3134,784
3134,785
3134,786
3134,787
3134,788
3134,790
3134,791
1776,794
3134,795
3134,797
3134,798
3134,799
3134,800
3134,801
3134,804
3134,805
3134,808
1664,809
3134,809
3134,811
3134,812
3134,813
3134,814
3134,815
3134,817
3134,819
3134,820
3134,821
3134,823
3134,825
3134,826
3134,827
3134,828
3134,829
3134,830
3134,831
3134,833
3134,834
3134,835
3134,836
3134,837
3134,838
3134,841
3134,842
3134,843
3134,844
3134,845
3134,847
3134,848
3134,850
3134,851
1598,852
1664,852
2610,852
3134,852
1569,853
1598,853
1780,853
1865,853
1598,857
2610,857
1598,858
1664,858
3134,858
1664,859
2610,859
3134,860
1598,861
3134,861
1598,862
1780,862
1598,864
1598,865
1598,866
1598,867
3134,868
3134,869
3134,870
3134,873
3134,874
3134,875
3134,876
1598,877
3134,877
3134,878
1569,879
1598,879
1865,879
1569,881
1598,881
1865,881
1598,882
1865,882
1598,883
2610,883
1569,884
1598,884
2610,884
1598,885
1664,885
2610,885
1598,887
2610,887
1664,888
3134,888
1598,889
1780,889
1598,890
1598,891
1664,891
2610,891
3134,891
1598,892
2610,892
1598,894
1780,894
3134,894
1780,897
570,898
1780,898
1598,899
1780,899
1780,901
1780,902
1780,903
251,904
1780,904
1780,905
2044,905
1780,906
1780,907
1780,908
1780,909
1780,910
1780,912
1780,913
1780,914
2044,914
1780,915
1780,916
1598,918
1780,918
2044,918
1780,919
1780,920
1780,921
1780,922
1780,923
1598,924
1780,924
3134,924
1780,925
1780,926
2044,926
1780,927
1780,929
1780,930
1780,932
1780,933
2044,933
1598,934
1780,934
2044,934
1598,935
1780,935
1598,936
1780,936
1598,938
1780,938
1598,939
1780,939
1865,939
1780,940
1780,941
1780,943
1780,944
1780,945
1780,946
1780,947
1598,948
1780,948
251,949
1780,949
1780,951
1780,952
1598,954
1780,954
1780,955
1780,957
1780,958
570,959
1780,959
1780,960
1780,961
1780,962
1598,963
1780,963
1598,964
1780,964
1780,965
1780,968
1780,969
1780,970
1780,971
1780,972
1780,973
1780,974
1780,975
1780,976
1780,977
1598,978
1780,978
1598,979
1780,979
1598,980
1780,980
1780,981
1780,983
1780,984
1780,985
2182,987
1814,988
2182,988
3020,988
2182,989
1814,990
2182,990
1814,991
2182,991
3020,991
1814,992
2182,992
3133,992
2182,993
3020,993
1814,996
2182,996
2182,997
1814,998
2182,998
2182,999
2182,1000
3133,1000
2182,1001
862,1002
2182,1002
1598,1003
2182,1003
2182,1004
3020,1004
2182,1005
2182,1006
3020,1006
2182,1007
2182,1008
2182,1009
2182,1010
2182,1012
2182,1013
2182,1014
2182,1015
2182,1016
1598,1018
2182,1018
3020,1018
1814,1019
2182,1019
1598,1020
2182,1020
3020,1020
3133,1020
2182,1021
2182,1022
2182,1023
2182,1024
3020,1024
2182,1025
2182,1026
2182,1027
2182,1028
2182,1030
3133,1030
2182,1033
2182,1034
1814,1036
2182,1036
1814,1037
2182,1037
3133,1037
111,1038
1787,1038
1814,1038
2182,1038
1814,1039
2182,1039
1814,1040
2182,1040
3133,1040
2182,1041
1787,1042
1814,1042
2182,1042
1814,1043
2182,1043
1814,1044
2182,1044
3133,1044
1814,1045
2182,1045
1814,1046
1814,1047
2182,1047
2182,1048
3133,1048
1814,1049
2182,1049
2182,1051
1814,1052
2182,1052
3133,1052
1814,1053
2182,1053
3133,1053
1814,1054
2182,1054
1814,1056
2182,1056
3020,1056
1814,1057
2182,1057
2182,1058
1787,1059
1814,1059
2182,1059
2182,1060
111,1061
1814,1061
1814,1062
2182,1062
1814,1064
2182,1064
1814,1065
2182,1065
1787,1067
1814,1067
2182,1067
1814,1068
1814,1069
2182,1069
3020,1069
111,1070
1787,1070
1814,1070
2182,1070
1814,1071
2182,1071
2182,1072
3133,1072
1814,1073
2182,1073
2182,1074
1814,1075
2182,1075
1814,1076
1814,1077
2182,1077
3133,1077
111,1078
1814,1078
2182,1078
1814,1079
1814,1080
2182,1080
3133,1080
1787,1081
1814,1081
2182,1081
1814,1085
2182,1085
3133,1085
1814,1086
2182,1086
3133,1086
1814,1087
2182,1087
3133,1087
1814,1088
1814,1089
2182,1089
2182,1090
1814,1091
1814,1092
2182,1092
1814,1093
2182,1093
1814,1094
2182,1094
1814,1096
2182,1096
2182,1097
2182,1101
3133,1101
1814,1103
2182,1103
3133,1103
2182,1104
3133,1104
3133,1105
2182,1106
3133,1106
2182,1107
3020,1107
2182,1108
2182,1109
2182,1110
2182,1111
2182,1112
2182,1113
2182,1114
2182,1115
2182,1116
2182,1117
3020,1117
2182,1118
2182,1119
432,1120
1031,1120
2182,1120
2182,1121
2182,1122
1814,1123
2182,1123
3020,1123
2182,1124
2182,1125
2182,1126
2182,1127
1814,1128
2182,1128
3020,1128
2182,1129
432,1130
1031,1130
2182,1130
1031,1131
2182,1131
3020,1131
1598,1134
2182,1134
432,1135
1031,1135
1500,1135
1814,1135
2182,1135
3020,1135
2182,1136
1500,1137
1814,1137
2182,1137
1814,1138
2182,1138
2182,1139
3136,1139
425,1140
2182,1140
3137,1140
1814,1141
2182,1141
425,1142
1814,1142
2182,1142
2182,1143
3136,1143
2182,1144
432,1145
2182,1145
3136,1145
1814,1146
2182,1146
3020,1146
1814,1147
2182,1147
425,1148
2182,1148
2182,1150
3136,1150
2182,1151
3136,1151
3137,1151
2182,1152
2182,1153
432,1155
1814,1155
2182,1155
1814,1156
3020,1156
1814,1157
2182,1157
3020,1157
3138,1157
432,1158
1031,1158
1814,1158
2182,1158
3020,1158
3138,1158
1814,1160
2182,1160
3020,1160
1814,1161
3020,1161
1031,1162
2182,1162
3020,1162
3138,1162
1031,1163
3020,1163
3138,1163
2182,1164
3020,1164
1814,1165
3020,1165
432,1166
1814,1166
2182,1166
3020,1166
432,1167
1814,1167
2182,1167
1814,1169
2182,1169
3020,1169
3020,1171
1814,1173
2182,1173
3020,1173
1814,1174
2182,1174
3020,1174
1031,1176
1814,1176
2182,1176
