id,key,created_ts,type,size
139,fullexports/dsire-2019-08.xml,"2019-08-01 00:01:22",xml,85504321
140,fullexports/dsire-2019-08.zip,"2019-08-01 00:15:28",csv,4946784
141,fullexports/dsire-2019-08.zip,"2019-08-01 00:15:28",csv,4946784
142,fullexports/dsire-2019-09.xml,"2019-09-01 00:01:17",xml,85515681
143,fullexports/dsire-2019-09.xml,"2019-09-01 00:01:19",xml,85515681
144,fullexports/dsire-2019-09.zip,"2019-09-01 00:15:27",csv,4946683
145,fullexports/dsire-2019-09.zip,"2019-09-01 00:15:27",csv,4946683
146,fullexports/dsire-2019-10.xml,"2019-10-01 00:01:22",xml,85520169
147,fullexports/dsire-2019-10.xml,"2019-10-01 00:01:23",xml,85520169
148,fullexports/dsire-2019-10.zip,"2019-10-01 00:15:28",csv,4947116
149,fullexports/dsire-2019-10.zip,"2019-10-01 00:15:28",csv,4947116
150,fullexports/dsire-2019-11.xml,"2019-11-01 00:01:21",xml,85522385
151,fullexports/dsire-2019-11.xml,"2019-11-01 00:01:22",xml,85522385
152,fullexports/dsire-2019-11.zip,"2019-11-01 00:15:27",csv,4947253
153,fullexports/dsire-2019-11.zip,"2019-11-01 00:15:27",csv,4947253
154,fullexports/dsire-2019-12.xml,"2019-12-01 00:01:17",xml,85543841
155,fullexports/dsire-2019-12.xml,"2019-12-01 00:01:17",xml,85543841
156,fullexports/dsire-2019-12.zip,"2019-12-01 00:15:26",csv,4950115
157,fullexports/dsire-2019-12.zip,"2019-12-01 00:15:27",csv,4950115
158,fullexports/dsire-2020-01.xml,"2020-01-01 00:01:17",xml,85545872
159,fullexports/dsire-2020-01.xml,"2020-01-01 00:01:17",xml,85545872
160,fullexports/dsire-2020-01.zip,"2020-01-01 00:15:26",csv,4950079
161,fullexports/dsire-2020-01.zip,"2020-01-01 00:15:27",csv,4950079
162,fullexports/dsire-2020-02.xml,"2020-02-01 00:01:22",xml,85547146
163,fullexports/dsire-2020-02.xml,"2020-02-01 00:01:22",xml,85547146
164,fullexports/dsire-2020-02.zip,"2020-02-01 00:15:28",csv,4950123
165,fullexports/dsire-2020-02.zip,"2020-02-01 00:15:28",csv,4950123
166,fullexports/dsire-2020-03.xml,"2020-03-01 00:01:20",xml,85578523
167,fullexports/dsire-2020-03.xml,"2020-03-01 00:01:21",xml,85578523
168,fullexports/dsire-2020-03.zip,"2020-03-01 00:15:27",csv,4952777
169,fullexports/dsire-2020-03.zip,"2020-03-01 00:15:27",csv,4952777
170,fullexports/dsire-2020-04.xml,"2020-04-01 00:01:19",xml,85591002
171,fullexports/dsire-2020-04.xml,"2020-04-01 00:01:21",xml,85591002
172,fullexports/dsire-2020-04.zip,"2020-04-01 00:15:30",csv,4954253
173,fullexports/dsire-2020-04.zip,"2020-04-01 00:15:30",csv,4954253
174,fullexports/dsire-2020-05.xml,"2020-05-01 00:01:21",xml,85591317
175,fullexports/dsire-2020-05.xml,"2020-05-01 00:01:22",xml,85591317
176,fullexports/dsire-2020-05.zip,"2020-05-01 00:15:29",csv,4954581
