id,name,state_id
287,"Fredericksburg City",54
288,"Stafford County",54
289,"Spotsylvania County",54
290,"Caroline County",54
291,"Northumberland County",54
292,"Orange County",54
293,"Essex County",54
294,"Westmoreland County",54
295,"King George County",54
296,"Richmond County",54
297,"Lancaster County",54
298,"Winchester City",54
299,"Frederick County",54
300,"Warren County",54
301,"Shenandoah County",54
302,"Page County",54
303,"Culpeper County",54
304,"Madison County",54
305,"Harrisonburg City",54
306,"Rockingham County",54
307,"Augusta County",54
308,"Albemarle County",54
309,"Charlottesville City",54
310,"Nelson County",54
311,"Greene County",54
312,"Louisa County",54
313,"Fluvanna County",54
314,"Waynesboro City",54
315,"Gloucester County",54
316,"Amelia County",54
317,"Buckingham County",54
318,"Hanover County",54
319,"King William County",54
320,"New Kent County",54
321,"Powhatan County",54
322,"Mathews County",54
323,"King and Queen County",54
324,"Cumberland County",54
325,"Charles City County",54
326,"Middlesex County",54
327,"Goochland County",54
328,"Henrico County",54
329,"James City County",54
330,"James City",54
331,"Chesterfield County",54
332,"Charles City",54
333,"Richmond City",54
334,"Williamsburg City",54
335,"Accomack County",54
336,"Isle of Wight County",54
337,"Northampton County",54
338,"Chesapeake City",54
339,"Suffolk City",54
340,"Virginia Beach City",54
341,"Norfolk City",54
342,"Newport News City",54
343,"Hampton City",54
344,"Poquoson City",54
345,"York County",54
346,"Portsmouth City",54
347,"Prince George County",54
348,"Petersburg City",54
349,"Brunswick County",54
350,"Nottoway County",54
351,"Southampton County",54
352,"Dinwiddie County",54
353,"Colonial Heights City",54
354,"Surry County",54
355,"Emporia City",54
356,"Franklin City",54
357,"Hopewell City",54
358,"Greensville County",54
359,"Sussex County",54
360,"Prince Edward County",54
361,"Mecklenburg County",54
362,"Charlotte County",54
363,"Appomattox County",54
364,"Lunenburg County",54
365,"Roanoke City",54
366,"Roanoke County",54
367,"Patrick County",54
368,"Henry County",54
369,"Pulaski County",54
370,"Montgomery County",54
371,"Botetourt County",54
372,"Franklin County",54
373,"Pittsylvania County",54
374,"Floyd County",54
375,"Giles County",54
376,"Bedford County",54
377,"Martinsville City",54
378,"Craig County",54
379,"Radford City",54
380,"Salem City",54
381,"Bristol City",54
382,"Washington County",54
383,"Wise County",54
384,"Dickenson County",54
385,"Lee County",54
386,"Russell County",54
387,"Buchanan County",54
388,"Scott County",54
389,"Norton City",54
390,"Grayson County",54
391,"Smyth County",54
