"County","State","FIPS Code","Formatted FIPS","Average annual wage in the specialty trade contractors industry "
"Giles","VA","51071","=""51071""","38500"
"Gloucester","VA","51073","=""51073""","42724"
"Goochland","VA","51075","=""51075""","55195"
"Grayson","VA","51077","=""51077""","27886"
"Greene","VA","51079","=""51079""","42040"
"Greensville","VA","51081","=""51081""","N/A"
"Halifax","VA","51083","=""51083""","42509"
"Hanover","VA","51085","=""51085""","53028"
"Henrico","VA","51087","=""51087""","58871"
"Henry","VA","51089","=""51089""","39318"
"Highland","VA","51091","=""51091""","N/A"
"Isle of Wight","VA","51093","=""51093""","44954"
"James City","VA","51095","=""51095""","43950"
"King and Queen","VA","51097","=""51097""","N/A"
"King George","VA","51099","=""51099""","41767"
"King William","VA","51101","=""51101""","44483"
"Lancaster","VA","51103","=""51103""","40522"
"Lee","VA","51105","=""51105""","24617"
"Loudoun","VA","51107","=""51107""","72187"
"Louisa","VA","51109","=""51109""","49934"
"Lunenburg","VA","51111","=""51111""","34174"
"Madison","VA","51113","=""51113""","47375"
"Mathews","VA","51115","=""51115""","37917"
"Mecklenburg","VA","51117","=""51117""","31197"
"Middlesex","VA","51119","=""51119""","36545"
"Montgomery","VA","51121","=""51121""","40058"
"Nelson","VA","51125","=""51125""","30039"
"New Kent","VA","51127","=""51127""","53778"
"Northampton","VA","51131","=""51131""","28625"
"Northumberland","VA","51133","=""51133""","58388"
"Nottoway","VA","51135","=""51135""","42026"
"Orange","VA","51137","=""51137""","34983"
"Page","VA","51139","=""51139""","34335"
"Patrick","VA","51141","=""51141""","38581"
"Pittsylvania","VA","51143","=""51143""","41465"
"Powhatan","VA","51145","=""51145""","46879"
"Prince Edward","VA","51147","=""51147""","35974"
"Prince George","VA","51149","=""51149""","45011"
"Prince William","VA","51153","=""51153""","60616"
"Pulaski","VA","51155","=""51155""","37820"
"Rappahannock","VA","51157","=""51157""","44570"
"Richmond","VA","51159","=""51159""","49200"
"Roanoke","VA","51161","=""51161""","41306"
"Rockbridge","VA","51163","=""51163""","N/A"
"Rockingham","VA","51165","=""51165""","44920"
"Russell","VA","51167","=""51167""","31393"
"Scott","VA","51169","=""51169""","32950"
"Shenandoah","VA","51171","=""51171""","36509"
"Smyth","VA","51173","=""51173""","22775"
"Southampton","VA","51175","=""51175""","45569"
"Spotsylvania","VA","51177","=""51177""","47014"
"Stafford","VA","51179","=""51179""","49011"
"Surry","VA","51181","=""51181""","34372"
"Sussex","VA","51183","=""51183""","41362"
"Tazewell","VA","51185","=""51185""","46483"
"Warren","VA","51187","=""51187""","42791"
"Washington","VA","51191","=""51191""","34136"
"Westmoreland","VA","51193","=""51193""","35657"
"Wise","VA","51195","=""51195""","34000"
"Wythe","VA","51197","=""51197""","41262"
"York","VA","51199","=""51199""","45182"
"Alexandria City","VA","51510","=""51510""","66960"
"Bedford City","VA","51515","=""51515""","N/A"
"Bristol City","VA","51520","=""51520""","55119"
"Buena Vista City","VA","51530","=""51530""","35974"
"Charlottesville City","VA","51540","=""51540""","45714"
"Chesapeake City","VA","51550","=""51550""","47115"
"Colonial Heights City","VA","51570","=""51570""","49436"
"Covington City","VA","51580","=""51580""","49030"
"Danville City","VA","51590","=""51590""","36392"
"Emporia City","VA","51595","=""51595""","N/A"
"Fairfax City","VA","51600","=""51600""","56762"
"Falls Church City","VA","51610","=""51610""","62278"
"Franklin City","VA","51620","=""51620""","30112"
"Fredericksburg City","VA","51630","=""51630""","51884"
"Galax City","VA","51640","=""51640""","34938"
"Hampton City","VA","51650","=""51650""","48240"
"Harrisonburg City","VA","51660","=""51660""","50067"
"Hopewell City","VA","51670","=""51670""","54905"
"Lexington City","VA","51678","=""51678""","46049"
"Lynchburg City","VA","51680","=""51680""","52936"
"Manassas City","VA","51683","=""51683""","59776"
"Manassas Park City","VA","51685","=""51685""","54403"
"Martinsville City","VA","51690","=""51690""","38424"
"Newport News City","VA","51700","=""51700""","56951"
"Norfolk City","VA","51710","=""51710""","52252"
"Norton City","VA","51720","=""51720""","26559"
"Petersburg City","VA","51730","=""51730""","52628"
"Poquoson City","VA","51735","=""51735""","40609"
"Portsmouth City","VA","51740","=""51740""","51792"
"Radford City","VA","51750","=""51750""","53250"
"Richmond City","VA","51760","=""51760""","54536"
"Roanoke City","VA","51770","=""51770""","48046"
"Salem City","VA","51775","=""51775""","43064"
"Staunton City","VA","51790","=""51790""","39843"
"Suffolk City","VA","51800","=""51800""","46157"
"Virginia Beach City","VA","51810","=""51810""","48574"
"Waynesboro City","VA","51820","=""51820""","46761"
"Williamsburg City","VA","51830","=""51830""","51210"
"Winchester City","VA","51840","=""51840""","48366"
"Adams","WA","53001","=""53001""","70067"
"Asotin","WA","53003","=""53003""","58024"
"Benton","WA","53005","=""53005""","56676"
"Chelan","WA","53007","=""53007""","50135"
"Clallam","WA","53009","=""53009""","38570"
"Clark","WA","53011","=""53011""","53924"
"Columbia","WA","53013","=""53013""","17480"
"Cowlitz","WA","53015","=""53015""","63485"
"Douglas","WA","53017","=""53017""","41814"
"Ferry","WA","53019","=""53019""","33133"
"Franklin","WA","53021","=""53021""","53906"
"Garfield","WA","53023","=""53023""","N/A"
"Grant","WA","53025","=""53025""","51887"
"Grays Harbor","WA","53027","=""53027""","42687"
"Island","WA","53029","=""53029""","45658"
"Jefferson","WA","53031","=""53031""","39472"
"King","WA","53033","=""53033""","71390"
"Kitsap","WA","53035","=""53035""","51087"
"Kittitas","WA","53037","=""53037""","41613"
"Klickitat","WA","53039","=""53039""","46177"
"Lewis","WA","53041","=""53041""","43140"
"Lincoln","WA","53043","=""53043""","39099"
"Mason","WA","53045","=""53045""","37912"
"Okanogan","WA","53047","=""53047""","34043"
"Pacific","WA","53049","=""53049""","31093"
"Pend Oreille","WA","53051","=""53051""","30867"
"Pierce","WA","53053","=""53053""","58316"
"San Juan","WA","53055","=""53055""","40953"
"Skagit","WA","53057","=""53057""","63902"
"Skamania","WA","53059","=""53059""","42577"
"Snohomish","WA","53061","=""53061""","58894"
"Spokane","WA","53063","=""53063""","48792"
"Stevens","WA","53065","=""53065""","32965"
"Thurston","WA","53067","=""53067""","56056"
"Wahkiakum","WA","53069","=""53069""","35055"
"Walla Walla","WA","53071","=""53071""","48370"
"Whatcom","WA","53073","=""53073""","59776"
"Whitman","WA","53075","=""53075""","43362"
"Yakima","WA","53077","=""53077""","46616"
"Barbour","WV","54001","=""54001""","40106"
"Berkeley","WV","54003","=""54003""","50018"
"Boone","WV","54005","=""54005""","45375"
"Braxton","WV","54007","=""54007""","42025"
"Brooke","WV","54009","=""54009""","42620"
"Cabell","WV","54011","=""54011""","52039"
"Calhoun","WV","54013","=""54013""","N/A"
"Clay","WV","54015","=""54015""","30236"
"Doddridge","WV","54017","=""54017""","71851"
"Fayette","WV","54019","=""54019""","36197"
"Gilmer","WV","54021","=""54021""","N/A"
"Grant","WV","54023","=""54023""","43087"
"Greenbrier","WV","54025","=""54025""","36055"
"Hampshire","WV","54027","=""54027""","30919"
"Hancock","WV","54029","=""54029""","37360"
"Hardy","WV","54031","=""54031""","34382"
"Harrison","WV","54033","=""54033""","55285"
"Jackson","WV","54035","=""54035""","71266"
"Jefferson","WV","54037","=""54037""","40236"
"Kanawha","WV","54039","=""54039""","56204"
"Lewis","WV","54041","=""54041""","62776"
"Lincoln","WV","54043","=""54043""","35981"
"Logan","WV","54045","=""54045""","36856"
"McDowell","WV","54047","=""54047""","34605"
"Marion","WV","54049","=""54049""","55487"
"Marshall","WV","54051","=""54051""","71656"
"Mason","WV","54053","=""54053""","51516"
"Mercer","WV","54055","=""54055""","35185"
"Mineral","WV","54057","=""54057""","42929"
"Mingo","WV","54059","=""54059""","40522"
"Monongalia","WV","54061","=""54061""","53645"
"Monroe","WV","54063","=""54063""","30121"
"Morgan","WV","54065","=""54065""","48585"
"Nicholas","WV","54067","=""54067""","49564"
"Ohio","WV","54069","=""54069""","74221"
"Pendleton","WV","54071","=""54071""","23001"
"Pleasants","WV","54073","=""54073""","N/A"
"Pocahontas","WV","54075","=""54075""","N/A"
"Preston","WV","54077","=""54077""","49365"
"Putnam","WV","54079","=""54079""","64268"
"Raleigh","WV","54081","=""54081""","41104"
"Randolph","WV","54083","=""54083""","43164"
"Ritchie","WV","54085","=""54085""","N/A"
"Roane","WV","54087","=""54087""","42349"
"Summers","WV","54089","=""54089""","47544"
"Taylor","WV","54091","=""54091""","33652"
"Tucker","WV","54093","=""54093""","N/A"
"Tyler","WV","54095","=""54095""","58768"
"Upshur","WV","54097","=""54097""","35653"
"Wayne","WV","54099","=""54099""","45633"
"Webster","WV","54101","=""54101""","N/A"
"Wetzel","WV","54103","=""54103""","56300"
"Wirt","WV","54105","=""54105""","42553"
"Wood","WV","54107","=""54107""","49365"
"Wyoming","WV","54109","=""54109""","49273"
"Adams","WI","55001","=""55001""","34433"
"Ashland","WI","55003","=""55003""","46579"
"Barron","WI","55005","=""55005""","43192"
"Bayfield","WI","55007","=""55007""","115817"
"Brown","WI","55009","=""55009""","56246"
"Buffalo","WI","55011","=""55011""","39018"
"Burnett","WI","55013","=""55013""","41210"
"Calumet","WI","55015","=""55015""","51982"
"Chippewa","WI","55017","=""55017""","51753"
"Clark","WI","55019","=""55019""","52003"
"Columbia","WI","55021","=""55021""","50259"
"Crawford","WI","55023","=""55023""","37516"
"Dane","WI","55025","=""55025""","63840"
"Dodge","WI","55027","=""55027""","54311"
"Door","WI","55029","=""55029""","46075"
"Douglas","WI","55031","=""55031""","60429"
"Dunn","WI","55033","=""55033""","53461"
"Eau Claire","WI","55035","=""55035""","53224"
"Florence","WI","55037","=""55037""","36916"
"Fond du Lac","WI","55039","=""55039""","61957"
"Forest","WI","55041","=""55041""","30260"
"Grant","WI","55043","=""55043""","45648"
"Green","WI","55045","=""55045""","42096"
"Green Lake","WI","55047","=""55047""","46692"
"Iowa","WI","55049","=""55049""","50288"
"Iron","WI","55051","=""55051""","42679"
"Jackson","WI","55053","=""55053""","40980"
"Jefferson","WI","55055","=""55055""","52517"
"Juneau","WI","55057","=""55057""","39597"
"Kenosha","WI","55059","=""55059""","55025"
"Kewaunee","WI","55061","=""55061""","37779"
"La Crosse","WI","55063","=""55063""","53153"
"Lafayette","WI","55065","=""55065""","47786"
"Langlade","WI","55067","=""55067""","40154"
"Lincoln","WI","55069","=""55069""","50805"
"Manitowoc","WI","55071","=""55071""","45236"
"Marathon","WI","55073","=""55073""","55392"
"Marinette","WI","55075","=""55075""","41563"
"Marquette","WI","55077","=""55077""","31961"
"Menominee","WI","55078","=""55078""","N/A"
"Milwaukee","WI","55079","=""55079""","63541"
"Monroe","WI","55081","=""55081""","69615"
"Oconto","WI","55083","=""55083""","44086"
"Oneida","WI","55085","=""55085""","40467"
"Outagamie","WI","55087","=""55087""","61624"
"Ozaukee","WI","55089","=""55089""","55926"
"Pepin","WI","55091","=""55091""","53118"
"Pierce","WI","55093","=""55093""","51519"
"Polk","WI","55095","=""55095""","49464"
"Portage","WI","55097","=""55097""","43701"
"Price","WI","55099","=""55099""","37150"
"Racine","WI","55101","=""55101""","54630"
"Richland","WI","55103","=""55103""","45790"
"Rock","WI","55105","=""55105""","59009"
"Rusk","WI","55107","=""55107""","41376"
"St. Croix","WI","55109","=""55109""","55506"
"Sauk","WI","55111","=""55111""","48163"
"Sawyer","WI","55113","=""55113""","38890"
"Shawano","WI","55115","=""55115""","48591"
"Sheboygan","WI","55117","=""55117""","54670"
"Taylor","WI","55119","=""55119""","43014"
"Trempealeau","WI","55121","=""55121""","44001"
"Vernon","WI","55123","=""55123""","41989"
"Vilas","WI","55125","=""55125""","35580"
"Walworth","WI","55127","=""55127""","50536"
"Washburn","WI","55129","=""55129""","35380"
"Washington","WI","55131","=""55131""","52387"
"Waukesha","WI","55133","=""55133""","65079"
"Waupaca","WI","55135","=""55135""","39630"
"Waushara","WI","55137","=""55137""","36049"
"Winnebago","WI","55139","=""55139""","63440"
"Wood","WI","55141","=""55141""","52082"
"Albany","WY","56001","=""56001""","41886"
"Big Horn","WY","56003","=""56003""","35529"
"Campbell","WY","56005","=""56005""","57095"
"Carbon","WY","56007","=""56007""","77742"
"Converse","WY","56009","=""56009""","47810"
"Crook","WY","56011","=""56011""","44583"
"Fremont","WY","56013","=""56013""","40371"
"Goshen","WY","56015","=""56015""","31831"
"Hot Springs","WY","56017","=""56017""","47916"
"Johnson","WY","56019","=""56019""","39121"
"Laramie","WY","56021","=""56021""","47374"
"Lincoln","WY","56023","=""56023""","45229"
"Natrona","WY","56025","=""56025""","53768"
"Niobrara","WY","56027","=""56027""","46624"
"Park","WY","56029","=""56029""","41368"
"Platte","WY","56031","=""56031""","56287"
"Sheridan","WY","56033","=""56033""","44226"
"Sublette","WY","56035","=""56035""","44749"
"Sweetwater","WY","56037","=""56037""","58159"
"Teton","WY","56039","=""56039""","50262"
"Uinta","WY","56041","=""56041""","59505"
"Washakie","WY","56043","=""56043""","41816"
"Weston","WY","56045","=""56045""","47785"
"Eastern","AS","60010","=""60010""","N/A"
"Manu'a","AS","60020","=""60020""","N/A"
"Rose Island","AS","60030","=""60030""","N/A"
"Swains Island","AS","60040","=""60040""","N/A"
"Western","AS","60050","=""60050""","N/A"
"Guam","GU","66010","=""66010""","N/A"
"Northern Islands","MP","69085","=""69085""","N/A"
"Rota","MP","69100","=""69100""","N/A"
"Saipan","MP","69110","=""69110""","N/A"
"Tinian","MP","69120","=""69120""","N/A"
"Adjuntas","PR","72001","=""72001""","N/A"
"Aguada","PR","72003","=""72003""","11986"
"Aguadilla","PR","72005","=""72005""","N/A"
"Aguas Buenas","PR","72007","=""72007""","22338"
"Aibonito","PR","72009","=""72009""","24497"
"Añasco","PR","72011","=""72011""","N/A"
"Arecibo","PR","72013","=""72013""","20795"
"Arroyo","PR","72015","=""72015""","N/A"
"Barceloneta","PR","72017","=""72017""","20306"
"Barranquitas","PR","72019","=""72019""","N/A"
"Bayamón","PR","72021","=""72021""","23116"
"Cabo Rojo","PR","72023","=""72023""","18476"
"Caguas","PR","72025","=""72025""","27985"
"Camuy","PR","72027","=""72027""","N/A"
"Canóvanas","PR","72029","=""72029""","11575"
"Carolina","PR","72031","=""72031""","26488"
"Cataño","PR","72033","=""72033""","N/A"
"Cayey","PR","72035","=""72035""","16851"
"Ceiba","PR","72037","=""72037""","N/A"
"Ciales","PR","72039","=""72039""","N/A"
"Cidra","PR","72041","=""72041""","17917"
"Coamo","PR","72043","=""72043""","19023"
"Comerío","PR","72045","=""72045""","N/A"
"Corozal","PR","72047","=""72047""","N/A"
"Culebra","PR","72049","=""72049""","N/A"
"Dorado","PR","72051","=""72051""","N/A"
"Fajardo","PR","72053","=""72053""","N/A"
"Florida","PR","72054","=""72054""","N/A"
"Guánica","PR","72055","=""72055""","N/A"
"Guayama","PR","72057","=""72057""","15671"
"Guayanilla","PR","72059","=""72059""","22481"
"Guaynabo","PR","72061","=""72061""","28775"
"Gurabo","PR","72063","=""72063""","N/A"
"Hatillo","PR","72065","=""72065""","N/A"
"Hormigueros","PR","72067","=""72067""","N/A"
"Humacao","PR","72069","=""72069""","N/A"
"Isabela","PR","72071","=""72071""","N/A"
"Jayuya","PR","72073","=""72073""","N/A"
"Juana Díaz","PR","72075","=""72075""","N/A"
"Juncos","PR","72077","=""72077""","22753"
"Lajas","PR","72079","=""72079""","9632"
"Lares","PR","72081","=""72081""","N/A"
"Las Marías","PR","72083","=""72083""","N/A"
"Las Piedras","PR","72085","=""72085""","N/A"
"Loíza","PR","72087","=""72087""","N/A"
"Luquillo","PR","72089","=""72089""","35211"
"Manatí","PR","72091","=""72091""","24513"
"Maricao","PR","72093","=""72093""","N/A"
"Maunabo","PR","72095","=""72095""","N/A"
"Mayagüez","PR","72097","=""72097""","17253"
"Moca","PR","72099","=""72099""","18812"
"Morovis","PR","72101","=""72101""","18836"
"Naguabo","PR","72103","=""72103""","23249"
"Naranjito","PR","72105","=""72105""","22690"
"Orocovis","PR","72107","=""72107""","N/A"
"Patillas","PR","72109","=""72109""","N/A"
"Peñuelas","PR","72111","=""72111""","23088"
"Ponce","PR","72113","=""72113""","17909"
"Quebradillas","PR","72115","=""72115""","16479"
"Rincón","PR","72117","=""72117""","N/A"
"Río Grande","PR","72119","=""72119""","32027"
"Sabana Grande","PR","72121","=""72121""","N/A"
"Salinas","PR","72123","=""72123""","N/A"
"San Germán","PR","72125","=""72125""","N/A"
"San Juan","PR","72127","=""72127""","42719"
"San Lorenzo","PR","72129","=""72129""","N/A"
"San Sebastián","PR","72131","=""72131""","N/A"
"Santa Isabel","PR","72133","=""72133""","20885"
"Toa Alta","PR","72135","=""72135""","22467"
"Toa Baja","PR","72137","=""72137""","N/A"
"Trujillo Alto","PR","72139","=""72139""","20348"
"Utuado","PR","72141","=""72141""","N/A"
"Vega Alta","PR","72143","=""72143""","28504"
"Vega Baja","PR","72145","=""72145""","21914"
"Vieques","PR","72147","=""72147""","N/A"
"Villalba","PR","72149","=""72149""","N/A"
"Yabucoa","PR","72151","=""72151""","N/A"
"Yauco","PR","72153","=""72153""","N/A"
"St. Croix","VI","78010","=""78010""","48622"
"St. John","VI","78020","=""78020""","56500"
"St. Thomas","VI","78030","=""78030""","50207"

"Location: United States"

"County Boundary Year: 2010"

"Indicator source: QCEW"
"http://www.policymap.com/our-data-directory.html#Bureau%20of%20Labor%20Statistics%20Quarterly%20Census%20of%20Employment%20and%20Wages"

"When using PolicyMap data in your work, please consult the Terms of Use and the instructions for Citing Us:"
"https://www.policymap.com/terms/"
"https://www.policymap.com/citing/"
